Username,Rating,Ulasan
Mahdi Satu Empat Lima Lima,5 bintang,"Sudah puluhan tahun saya tak berkunjung kesini. Dulu, waktu kecil kalau kesini mesti rombongan bareng keluarga. Sekarang, kesini juga bareng keluarga kecil saya. Sama istri, dan kedua anak saya.
Sudah banyak perubahan disana sini didalam KBS ini. Namun, saya masih ingat kandang hewan didepan (Kalau ndak salah kandang beruang waktu itu) sepertinya masih terawat dari dulu. Terlihat masih menggunakan besi yang kokoh.
Saran saya buat pengunjung, kalau ke KBS atau tempat hiburan keluarga, jangan pas hari libur kerja, rame. Kemarin saja saya berkunjung ke KBS pas hari kerja sudah rame, apalagi pas hari libur.... 😆😆😆"
Reyhan,5 bintang,"Hewanya sudah banyak. Tapi untuk makananya terlalu mahal menurutku.
Ada zona anak gratis. Rame kalau sabtu minggu. Harga tiket masuk hari minggu 15.000. Okelah buat jalan"" Sama mengenal binatang / edukasi buat anak"
Angela Prada,5 bintang,"Menurutku ini tempat hiburan keluarga / piknik kluarga   dan bs jadi bahan edukasi ke anak2, bahkan buat ke org dewasa sekalipun, masih banyak kan yg belum tau spesies hewan-hewan 😆

KBS yg skg bersih, rindang jd terasa adem tp tetep gerah yaa kl uda sambil jalan keliling, ada baiknya kesini pake baju yg mudah serap keringat / jgn pake baju double2 kecuali kesini cuman foto2 OOTD / post konten biar keliatan liburan.. hehe.

Awalnya kesini mau piknik sama kluarga bawa tikar dan makanan, tp stelah DM akun IG nya dan ga boleh bawa tikar, kami sekluarga memutuskan yaudah lah gausa bawa ina ini,  beli + duduk2 d warung yg ada d dlm KBS.. ehh trnyata di dalem masi byk yg bawa tikar, bs bawa makanan h tiduran santai tanpa ditegur..
jd mikir ''tau gt td nekad aja bawa tiker + bekal''..

Akhirnya kita mutusin makan + istrht di warung yg ada di sebelah toko souvenir KBS, makanan harga terjangkau dan rasa+porsinyanya lumayan apalagi nasi campur nya.. *ngajeni* untuk harganya ❤

Trus, kmrn pas ke KBS area gajahnya lg ditutup,pdhl bintang utama bagi bocil2 ikut adalah liat gajah + jerapah yg sudah ga jomlo lagi. Haha.

Intinya, KBS is worth a visitttt !! Bakal lg kesini, tp akan milih cuti dan berangkat d weekday 😆

Ehh iyaa, jgn lupa barangkali sempat dan minat foto2 deh di depan patung suroboyo pake jasa foto mereka  / beli jg mainan kapal kotok kotok yg ada di area sekitar KBS. Kalian senang, mereka yg jualan pun senang ❤"
iim widdya,5 bintang,"Wisata yg cukup murah meriah.. tiket masuk 15K, harga camilan dan minuman mulai 8K, binatangnya mulai berkurang, harimau saya temui cuma ada 2, singa 1, untuk parkir r4 bisa di TIJ (saya masuk jam 09.30-14.00 kena 7K)"
Rizky Anggari Putri,5 bintang,"Bonbin skrg bersih dan luas.. ada org jual cemilan jg dj dlm. HTM 15rb ya, klo masuk satwa laut byw lg 30rb
Naik unta 35rb ya hanya untuk anak2
Selamat berliburrrrr"
Pery Yuanto,5 bintang,"Sebagai Wisata Edukasi untuk sikecil serta memperkenalkan salah satu icon surabaya. KBS atau biasa dikenal dengan BonBin. Harga Tiket Masuk 15rb,  usahakan siapkan uang pas jika tunai, atau via QRIS juga sudah bisa.
Sekarang banyak Perubahan, dibanding dulu yg terkenal Kumuh serta banyak Kandang yg kosong, sekarang sudah tertata.
Banyak petunjuk arah yg memudahkan pengunjung, suasana pepohonan yg rindang, mungkin koleksi binatang nya perlu ditambah agar lebih menarik.
Bisa ajak sikecil untuk memberi makan hewan, cukup murah harganya 10rb, sudah bisa mendapatkan makanan hewan berupa wortel. Tetap berbenah dan Tingkatkan pelayanan. Semoga makin sukses."
Fitriani Intan Siswoyo,4 bintang,"Tempat wisata keluarga, cocok untuk mengajak anak bermain dan belajar. Tiket masuk 15.000, aquarium 35.000, wahana edutainment 25.000, feeding time 10.000, feeding jerapah 100.000/keluarga."
PLP Agnes Meilani,5 bintang,"Sangat cocok untuk rekreasi bersama keluarga. Apalagi yang punya anak kecil pasti senang bisa bermain dan belajar tentang hewan. Banyak sekali koleksi binatang yang ada. Salah satunya jerapah ini. Sangat menggemaskan bukan. Mari bersama keluarga mengunjungi kebun binatang Surabaya.

Note : kalo balita bisa dibawakan stroller atau semacamnya supaya kalo sudah cape jalan tidak perlu digendong ayah bunda. Karena kebun binatang ini luas.

Terimaaciaaawww <3"
Wulan Dari,4 bintang,"perdana kesini stlh sekian lama... jauh beda bgt sama bonbin jaman dulu. yg skrg terawat bgt hewan2nya, banyak yg hewan2 yg masih baby nya jg kelihatan bgt kalau berkembang biak dgn baik dan sehat. tempatnya jg bersih dan prokes bgt. tiket masuknya di weekday td 15.000 per orang, terjangkau utk bisa nyenengin anak gk pake mahal. sukses selalu buat kebun binatang surabaya semoga semakin bertambah koleksi2 hewannya."
Hudha,4 bintang,"Menjadikan salah satu tempat wajib kunjung saat berada di Surabaya, masuk 15k, dilarang membawa tikar, terdapat berbagai satwa, tersedia stand2 makanan, mushola, wc yng berbayar, ada juga kapal bebek air 35k untuk jenis 2 org,"
Jossy,5 bintang,"Dulu banget kesini waktu masih kecil 😅
Sekarang kesini lagi, rasanya dah lupa sama yg dulu 🤣
Gak usah bayar 3,7jt buat lihat komodo, di sini cukup bayar 15rb dah bisa liat banyak komodo 🤣🤣🤣
Naik kapal 15rb/orang
Masuk aquarium nya 30/orang
Ada kolam renang buat anak² nya juga"
nisa,4 bintang,ini kebun binatang lejen bgt. sayang kebersihannya kurang mungkin faktor rame org. tiket masuknya murah cuman 15rb. didalam ada aquarium kecil juga itu bayar sekitar 20an rb  per org
Aginta Friska,3 bintang,"Kesini terakhir Maret 2022. Untuk ukuran kebun binatang, cukup oke. Koleksi hewan beragam. Mulai dari berbagai macam.unggas, mamalia, melata, sampai ada section khusus untuk bayi-bayi hewan. Kebersihan juga cukup oke didalam kandang (diluar kandang karena saat itu weekend dan ramai pengunjung bisa dibayangkan sampahnya). Mungkin bisa dipertimbangkan kembali tata kelola pengunjung agar jangan sampai pengunjung niatnya ke KBS untuk lihat hewan jadinya malah lihat lautan manusia. Hehe"
Arvand Firmansyah,5 bintang,"Kebun Binatang Surabaya terletak di tengah tengah Kota Surabaya.
Aksesnya cukup mudah, hanya lahan parkir yang tidak begitu luas harus parkir di lahan parkir terminal wonokromo atau parkir liar sepanjang jalan.
Untuk hewannya cukup banyak jenisnya.
Beberapa kandang terlihat kotor dan kumuh.
Terutama kandang yang di dalamnya terdapat kolam atau kubangan airnya.
Petugas cukup ramah saat ditanya tentang arah ataupun info yang lainnya.
Cocok untuk rekreasi anak anak kecil untuk lebih mengenal lebih dekat dengan dunia hewan.
Recommended untuk dikunjungi."
Aden Ayu,5 bintang,"Untuk pembelian karcis masuk pembayarannya NON TUNAI
Dan q bayar pakai app DANA
Didalam banyak yg jualan minuk makanan
Jadi ga takut kehausan kelaperan ya
Masih ada beberapa tempat yg direnov
Hewan""nya lumayan banyak
Tempat yg cocok buat liburan keluarga"
Nurul Falahah,4 bintang,"Tiket masuk 15.000
Parkir motor 5.000
Tiket masuk aquarium 20.000
Sepeda air untuk 2 orang 35.000

Selama pandemi akses untuk liat gajah ditutup."
Arif Fuddin Usman,5 bintang,"KEBUN BINATANG SURABAYA(KBS) atau Surabaya Zoo adalah salah satu kebun binatang yang populer di Indonesia dan terletak di Surabaya, Jawa Timur.

Kebun binatang ini termasuk tertua di Indonesia. KBS sudah berdiri sejak tahun 1918 atau jauh sebelum Indonesia merdeka. KBS memiliki luas 15 hektare yang berada di pusat kota Surabaya.

Pada zamannya, KBS pernah tercatat sebagai kebun binatang yang terlengkap di seluruh wilayah Asia Tenggara.

Kebun binatang yang dikelola Perusahaan Daerah atau PD Taman Satwa ini di dalamnya terdapat lebih dari 230 spesies satwa yang berbeda yang terdiri lebih dari 2179 ekor satwa.

Adapun Jenis-jenis di dalamnya terdapat satwa langka Indonesia maupun dunia terdiri dari Mamalia, Aves, Reptilia, dan Pisces.

Harga tiket masuk, sebesar Rp. 15.000, baik untuk anak-anak maupun untuk kalangan dewasa. Berlaku setiap hari, anak dengan tinggi badan 85cm sudah dikenakan biaya normal.

Pada kunjungan 10 Maret 2023 lalu, saya bersama keluarga. Karena bertepatan di hari Sabtu atau akhir pekan, suasana KBS sangat padat. Jumlah pengunjung, dari prediksi saya, mencapai ratusan orang.

Oke. Selamat berkunjung ke KBS Surabaya. KBS merupakan tempat yang tepat dengan mengajak putra-putri Anda. KBS merupakan sarana untuk meningkatkan pengetahuan anak-anak. (*)

#kebunbinatang #kebunbinatangsurabaya #kbs #surabaya #jawatimur"
Wilma Puspa Rani,4 bintang,"Waktu mau beli tiket sempet bingung karena g terima cash, tolong kedepannya disedian 2 loket yg melayani cash & non cash. Karena kemarin itu banyak yg ga punya apps untuk pembayaran non cash. Didalam mungkin bisa disedian lebih banyak tempat sampah, karena banyak pengunjung yg buang sampah sembarangan, bahkan dibuang ke kandang satwa, mungkin kalo diberlakukan denda bisa kasih efek jera. Sampahnya mengganggu sekali, kasihan petugas & satwa di dalam, juga pengunjung yg mau menikmati kebun binatang. Ada pengunjung yg berfoto terlalu dekat dengan komodo (separuh badan masuk ke kandang komodo) , entah motivasinya apa, mungkin mau minta dicium komodo? Semoga jadi perhatian pihak bonbin."
Linda Alfiatus Afifah,5 bintang,"Alhamdulillah KBS masih bertahan selama pandemi ini. Terima kasih sudah merawat binatang2 ini dengan baik. Kadang kasian juga kalau ada hewannya di kandang sendirian, semoga mendapat teman =)"
Yinna Nitami Anuru,5 bintang,"first time banget kesini after almost 20 years 😂 and amaze pol! skrg baguss, bersih, sejuk banget..
(+) dalamnya luas pol, ga kalah sm yang diluar kota, walking space nya oke jadi kl bawa stroller juga nyaman, ga smp desek2an sm org lain
(+) hewannya lumayan banyak dan variatif
(+) harga tiket super terjangkau cuma 15rb per orang, kalo masuk aquarium nambah bayar 30rb lagi
(+) dari parkiran mobil ke tempat masuk ga terlalu jauh
(+) di dlm kbs nya lumayan banyak org jual makanan
(+) banyak tempat duduk, jadi ga usa takut capek, bisa ngaso smbl liat hewan

(-) wc nya minim ya, dan ga terlalu bersih
(-) banyak tempat cuci tangan tapi semuanya ga ada sabunnya 😩
(-) kesini pas weekday jadi mayan sepi, kl pas weekend kayaknya mayan susah dpt parkir

so farr, ini layak banget dikunjungi dan jadi pilihan buat jalan2 bareng keluarga daripada nge-moll aja.."
wp sarii,5 bintang,"Libur natal 2021
Harga tiket 15rb
Kbs lebih berwarna dr pada yg dulu, tenant makanan banyak gak perlu takut kelaparan.
Beberapa kandang kurang terawat, sudah ada perubahan, beberapa hewann nambah
Untuk arena aquarium dr duluuuu sama saja :)"
Marines Helmyna,5 bintang,"Jalan jalan disini seru sih, buat nge date bisa, family atau friends time juga bisa.
Pen saran bagian ticketing, tetep sediain buat yg tunai, kemaren banyak bgt yg adanya cash krn gaada Qris di gadgetnya, jd kudu nebeng pengunjung lain. Setuju jg sih cashless, mungkin pelan2 bisa ngerubah kesana. Minuman rata2 10k kalo teh poci ini original 6k."
Noraot,5 bintang,"Wisata edukasi di kota yang murah.. masuk hanya 15ribu & jk ingin masuk aquarium 30rb.
Tempat wisata sdh lbh baik dr sbelumnya, cocok utk kluarga, rindang banyak pepohonan jd gk gerah & gk panas, banyak kluarga yg membawa bekal. Bs jg beli mkanan/mnuman diluar harga jg trjangkau."
Putri Anggraini,5 bintang,"HTM Rp. 15.000/orang. Usahakan parkir mobilnya di dalam, karena di luar area KBS banyak orang yang nyuruh parkir di lain tempat dan bayarnya lebih mahal. Tempatnya luas, bersih, cocok untuk anak anak."
Mushiyung Ipputa,5 bintang,"Aku kesini kurleb 2 Tahun lalu... waktu itu masih musim covid tapi gk parah bgt... aku pesen tiket 1 hari sblmnya via website... tiketnya murah..
Kawasannya luas sekali.... berbagai binatang ada ... klo mau mliht hewan air perlu tiket tambhn lgi di area ujung belakang dkt pintu keluar...."
RAZA,4 bintang,"Wisata keluarga murah meriah,. Kebun binatang legendaris,. Tiket cukup 15K , hari kerja cukup lenggang suasananya, fasilitas lengkap, di dalam ada cafe,
Suasanya di dalam adem, cuma ada bau tak sedap waktu di area burung,..
Hewan2 tdk begitu banyak, cuma ada saja tiap jenis hewan,..
Ada juga tukang foto langsung jadi didalam bunbin,.
Diluar juga ada fotograper untuk foto didepan patung Sura & Baya,. Biaya kira2 10 per foto,..

NOTE : Hari SENIN wisata naik gajah TUTUP..
Ini yg blm ada informasi dari pihak Bunbinnya,. Jd anak2 sedikit kecewa karena ingin naik gajah.."
Syamrotul Fiqriyah,5 bintang,"Tempat wisata edukasi untuk anak. Mengenalkan anak pada jenis2 hewan. Harga tiket 15rb per orang. Anak dengan tinggi badan 85cm ke bawah bebas biaya masuk. Saran untuk para orang tua yang membawa anak kecil (balita) untuk membawa stroller, mengingat KBS sangat luas. Bebas membawa makanan. Yang penting jaga kebersihan & selalu membuang sampah pada tempat sampah yg sudah disediakan pengelola"
Adang Kosasih,4 bintang,Hutan di tengah kota yang berisi aneka flora dan fauna. Dengan tiket masuk yang murah kita bisa menikmati rindang nya pepohonan dan aneka satwa. Tapi sayang kurangnya kesadaran dari pengunjung banyak sampah dibuang sembarangan meskipun tempat sampah banyak.
Putri Agustin Wulandari,5 bintang,"Tips liburan hemat, Dari Bangil naik kereta ke KBS, cuma 5k per orang. Turun di Wonokromo bisa jalan kaki atau gocar aja, murah kok.
Tiket KBS hanya 15k. Jangan lupa bekal makanan, disini banyak tempat untuk kita
Istirahat dan makan. Jajan juga lumayan murah, eskrim hanya 10k. Tempatnya rindang sejuk.
Yang menurutku pricey adalah wahana naik gajah, 100k perorang.
Jadi pengen kesini tiap bulan 😍"
yulipista kristanti,4 bintang,"Lebih bersih, rindang dan bagus daripada bbrp tahun lalu saya kesini. Makanan masih terjangkau,minuman yg mahal pas di dlm KBS.
Cuma kesini pas hri jumat jadi tidak bisa tunggang unta ataupun gajah. Jadi kalau kesini hindari senin dan jumat. Kalau ingin berpose dgn gajah dan unta. Atau bisa hubungi admin di IG resmi KBS sebelum kesini. Ntar di kasih jadwal dan harga tiketnya.
Parkir mobil di dalam aja. Biar aman. Tiket masuk KBS 15rb. Kalau mau wahana bisa nambah di dalam sesuai kebutuhan kawan2 smua. Banyak tempat sampah, jadi buanglah sampah pada tempatnya. 👍👍"
Jino Jiwan,3 bintang,"Rindang dan cukup menyejukkan suasana Surabaya yang terik. Banyak signage yang keliru, jadi perlu bertanya ke petugas tentang lokasi binatang tertentu. Kondisinya menurut salah seorang teman, sudah jauh lebih baik daripada dulu. Aroma kotoran binatang masih santer tercium. Ada fasilitas masjid yang mengadakan sholat Jumat."
Ayu Enggarini Christi (Jajuk),4 bintang,Dulu pernah kesini saat kecil. Skrg kesini sama anak prtma. Seneng bgt bisa ajak dia kesini. Tiket msuk 15k per org. Masuk aquarium bayr lgi ya 30k per org. Trs naik elektrik kek speda htu berbayar jga sewa ya. Tempat bersih adem. Ada foodcortnya jga. Lumayan lah ya bisa utk isi liburan
Budi Catur,5 bintang,"lama tidak di KBS dikarenakan pandemi, akhirnya kita berkunjung lagi...dan saya terkejut karena tempatnya sudah banyak berubah, lebih bagus dan lebih menyenangkan....maju terus KBS, tetaplah bersolek untuk kota surabaya"
Zahrina Atikah,5 bintang,"Tempat wisata yg legend banget di surabaya. Sekarang hewannya sudah lumayan banyak, asri banget banyak tumbuhan, pepohonan, baguuuss sekarang. Cocok banget buat liburan bareng keluarga, sahabat, ataupun ayang hehe. Di dalem juga disediakan tempat makan. Untuk masuknya masih tergolong sangat murah, di dalem juga ada wahana permainan, dan kalau kalian masuk dibagian aquarium bayar lagi yaa temen”. Sedikit masukan mungkin bisa ditambahkan wahana permainannya. Jadi ketika orang tua capek mengantarkan anaknya buat liat hewan yg super luas ini, bisa diarahkan ke tempat bermain sambil orang tua bisa duduk”. Denger” nanti surabaya zoo ini buka kalau malam lhooo. Gak sabaar bangeeettt!!!"
Dhimas Samudra,4 bintang,"Suasana Kebun binatang :

1. Tiket masuk termasuk masih murah dan ga kemahalan. Cuma antrinya ga ada ampun dan luama banget.
2. Ketika masuk zona aquarium harus bayar tapi gak apa apa worth karena zona nokturnal dibuka dan masih satu kawasan.
3. Alur jalan kurang baik banyak yang tabrakan saat lihat lihat hewan, harusnya dibuat satu jalur seperti di batu secret zoo.
4. Kurangnya fasilitas buang hajat yang mengakibatkan berjubel jubel saat ingin menggunakan WC/km.

Kuliner kebun binatang Surabaya :

buat kalian yang mau beli jajanan di kebun binatang harap bawa uang lebih karena harganya lumayan mahal. Seperti harga gorengan perbijinya 5.000 dan nasi kuning di mika ukuran sedang pun harganya 15.000, dan jajanan semacam corndog pun 15.000 dan es nya juga 15.000an"
Pramana Adi,4 bintang,"Cukup menarik untuk sebuah kebun binatang ditengah kota surabaya. Sangat sejuk didalam
Untuk fasilitas dan informasi sepatutnya di benahi dan dirawat sebaik mungkin..papan nama penjelasan tentang hewan sepatutnya diperbarui dan untuk koleksi satwa mungkin bisa ditambah lagi"
desy fatma,5 bintang,"Parkirnya jauh harus ke terminal karena parkir area KBS sudah penuh
HTM cuma 15rb murah brg ..binatangnya banyak dan sehat2 semua
Bersih tempatnya
Anak² suka..nyaman .tmpat makan jga banyak"
fanni prasetyo,3 bintang,"Sejuk banyak pohon, satwanya lumayan lengkap. Harga makanan dan minuman relatif mahal, mending bawa bekal secukupnya ya. Kolam renang khusus anak2 bayar lagi 25000, kl mendampingi anak kecil ( ikut masuk) ortu bayar separuh 😅. Ukuran kolam ya segitu aja, polosan gak ada perusutan atau waterboom ya. Naik perahu 15ribu per orang satu putaran. Ada juga sewa perahu bebek yang dikayuh sekitaran 50rb."
Rika Santika,4 bintang,"Banyak kandang yang kosong dan beberapa kandang bau sekali. Waktu kami baru saja duduk di pujasera, ibu-ibu penjual langsung menyerbu dengan menu dan tawaran-tawaran, cukup mengesalkan. Positifnya, ada masjid yang menyelenggarakan Sholat Jum'at, banyak pohon rindang sehingga udara sejuk, dan harganya murah, Rp.15.000,- per orang."
